Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1972,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1972,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1972,1159.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1972,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1972,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1972,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1972,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1972,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1972,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1972,548.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1972,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1972,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1973,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1973,1686.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1973,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1973,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1973,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1973,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1973,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1973,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1973,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1973,7528.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1973,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1973,1375.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1973,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1973,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1973,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1973,774.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1973,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1973,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1973,1522.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1973,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1973,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1973,6156.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1974,1390.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1974,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1974,2555.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1974,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1974,8996.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1974,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1974,7634.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1974,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1974,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1974,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1974,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1974,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1974,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1974,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1974,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1974,1791.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1974,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1974,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1974,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1974,2139.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1974,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1974,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1975,15702.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1975,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1975,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1975,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1975,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1975,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1975,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1975,2613.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1975,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1975,9479.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1975,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1975,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1975,2584.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1975,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1975,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1975,1658.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1975,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1975,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1975,5174.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1975,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1975,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1975,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1976,13687.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1976,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1976,3564.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1976,10950.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1976,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1976,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1976,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1976,9819.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1976,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1976,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1976,1748.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1976,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1976,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1976,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1976,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1976,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1976,6497.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1976,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1976,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1976,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1976,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1976,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1977,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1977,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1977,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1977,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1977,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1977,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1977,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1977,19037.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1977,5107.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1977,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1977,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1977,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1977,8344.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1977,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1977,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1977,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1977,19813.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1977,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1977,2176.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1977,4375.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1977,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1977,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1978,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1978,7506.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1978,2876.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1978,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1978,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1978,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1978,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1978,25063.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1978,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1978,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1978,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1978,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1978,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1978,21505.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1978,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1978,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1978,11151.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1978,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1978,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1978,5614.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1978,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1978,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1979,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1979,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1979,9342.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1979,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1979,8686.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1979,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1979,3176.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1979,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1979,15556.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1979,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1979,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1979,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1979,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1979,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1979,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1979,29799.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1979,25477.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1979,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1979,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1979,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1979,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1979,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1980,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1980,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1980,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1980,4969.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1980,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1980,13175.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1980,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1980,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1980,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1980,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1980,35143.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1980,18758.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1980,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1980,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1980,35526.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1980,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1980,14806.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1980,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1980,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1980,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1980,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1980,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1981,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1981,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1981,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1981,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1981,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1981,38633.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1981,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1981,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1981,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1981,4945.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1981,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1981,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1981,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1981,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1981,17159.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1981,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1981,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1981,37535.0
