CTA PROG,SUBC SUBP,OBJG PROY,"ORD
SPRY",CONCEPTO,Código de entidad,Código de sector,Tipo de gasto,Código,Entidad,Sector,TOTAL
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,AMPLIACIÓN Y MEJORAMIENTO DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS EN EL TERRITORIO  NACIONAL,"4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / A. REDUCCIÓN DEL IMPACTO AMBIENTAL DEL SECTOR RESIDENCIAL Y PROMOCIÓN DEL HÁBITAT VERDE. 162","4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / A. REDUCCIÓN DEL IMPACTO AMBIENTAL DEL SECTOR RESIDENCIAL Y PROMOCIÓN DEL HÁBITAT VERDE. 162",4001.0,40,INVERSIÓN,4003.1400.8.40304A,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",40000000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,APOYO FINANCIERO AL PLAN DE INVERSIÓNES EN INFRAESTRUCTURA PARA FORTALECER LA PRESTACIÓN DE LOS SERVICIOS DE ACUEDUCTO Y ALCANTARILLADO EN EL MUNICIPIO DE SANTIAGO DE  CALI,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.16.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",381480647642.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,APOYO FINANCIERO PARA FACILITAR EL ACCESO A LOS SERVICIOS DE AGUA POTABLE Y MANEJO DE AGUAS RESIDUALES A NIVEL  NACIONAL,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.11.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",635521347258.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,APOYO FINANCIERO PARA LA IMPLEMENTACIÓN DEL PLAN MAESTRO DE ALCANTARILLADO DEL MUNICIPIO DE   MOCOA,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.12.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",42323000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,DESARROLLO DE PROPUESTAS REGULATORIAS PARA EL SECTOR DE AGUA POTABLE Y SANEAMIENTO BÁSICO A NIVEL   NACIONAL,1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. CICLO DEL AGUA COMO BASE DEL ORDENAMIENTO TERRITORIAL,1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. CICLO DEL AGUA COMO BASE DEL ORDENAMIENTO TERRITORIAL,4001.0,40,INVERSIÓN,4003.1400.3.10302A,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",8460315087.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,DESARROLLO Y MEJORAMIENTO DEL SECTOR DE AGUA POTABLE Y SANEAMIENTO BÁSICO A NIVEL  NACIONAL,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / 2. MÍNIMO VITAL DE AGUA,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / 2. MÍNIMO VITAL DE AGUA,4001.0,40,INVERSIÓN,4003.1400.7.202020,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",30000000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,FORTALECIMIENTO A LA GESTIÓN COMUNITARIA E IMPLEMENTACIÓN ESQUEMAS DIFERENCIALES Y MEDIOS ALTERNOS EN ACCESO A AGUA Y SANEAMIENTO BÁSICO A NIVEL NACIONAL.  NACIONAL,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.18.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",160000000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,FORTALECIMIENTO DE LA ACTIVIDAD DE MONITOREO A LOS RECURSOS DEL SGP-APSB Y LA ASISTENCIA TÉCNICA DE LAS ENTIDADES TERRITORIALES A NIVEL   NACIONAL,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.9.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",3081000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,IMPLEMENTACION DE LAS MEDIDAS DE ACCESO AL AGUA EN EL DEPARTAMENTO DE LA GUAJIRA,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS  A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS  A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.20.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",91700000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,IMPLEMENTACION DEL PROGRAMA DE AGUA POTABLE Y ALCANTARILLADO PARA EL DEPARTAMENTO DE  LA GUAJIRA,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.17.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",15888000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,"MEJORAMIENTO DE LOS SISTEMAS DE ACUEDUCTO Y ALCANTARILLADO EN EL DISTRITO INDUSTRIAL, PORTUARIO, BIODIVERSO Y ECOTURÍSTICO DE BUENAVENTURA",5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.19.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",9434000000.0
ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SANEAMIENTO DE VERTIMIENTOS EN CUENCAS PRIORIZADAS DEL TERRITORIO  NACIONAL,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,5. CONVERGENCIA REGIONAL / H. ACCESO A SERVICIOS PÚBLICOS A PARTIR DE LAS CAPACIDADES Y NECESIDADES DE LOS TERRITORIOS,4001.0,40,INVERSIÓN,4003.1400.14.51302H,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",25307000000.0
ADMINISTRACIÓN Y VIGILANCIA DE LAS CARRERAS ADMINISTRATIVAS DE LOS SERVIDORES PÚBLICOS,INTERSUBSECTORIAL GOBIERNO,DESARROLLO INTEGRAL DE LA CARRERA ADMINISTRATIVA NACIONAL,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / D. MODERNIZACIÓN Y TRANSFORMACIÓN DEL EMPLEO PÚBLICO,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / D. MODERNIZACIÓN Y TRANSFORMACIÓN DEL EMPLEO PÚBLICO,3801.0,38,INVERSIÓN,504.1000.6.20306D,Comisión nacional del servicio civil,Empleo público,96695365207.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,ADQUISICIÓN DE OTRAS PARTICIPACIONES DE CAPITAL,EN ORGANIZACIONES INTERNACIONALES,"FONDO DE ORGANISMOS FINANCIEROS INTERNACIONALES - FOFI, LEY 318 DE 1996","FONDO DE ORGANISMOS FINANCIEROS INTERNACIONALES - FOFI, LEY 318 DE 1996",1301.0,13,FUNCIONAMIENTO,6.3.1.2,Ministerio de hacienda y crédito público,Hacienda,610258000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DE CONSUMO,PRÉSTAMOS DE CONSUMO,1511.0,15,FUNCIONAMIENTO,6.1.4.11,Caja de sueldos de retiro de la policía nacional,Defensa y policía,2500000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DE CONSUMO,PRÉSTAMOS DE CONSUMO,1512.0,15,FUNCIONAMIENTO,6.1.4.11,Fondo rotatorio de la policía,Defensa y policía,85468000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DE CONSUMO,PRÉSTAMOS DE CONSUMO,1520.0,15,FUNCIONAMIENTO,6.1.4.11,Agencia logística de las fuerzas militares,Defensa y policía,16000000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DE CONSUMO,PRÉSTAMOS DE CONSUMO,1702.0,17,FUNCIONAMIENTO,6.1.4.11,Instituto colombiano agropecuario (ica),Agricultura y desarrollo rural,700000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DE VIVIENDA,PRÉSTAMOS DE VIVIENDA,3502.0,35,FUNCIONAMIENTO,6.1.4.10,Superintendencia de sociedades,"Comercio, industria y turismo",3497000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DIRECTOS (DECRETO LEY 1010/2000),PRÉSTAMOS DIRECTOS (DECRETO LEY 1010/2000),2803.0,28,FUNCIONAMIENTO,6.1.4.1,Fondo social de vivienda de la registraduría nacional del estado civil,Registraduría,14606816139.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS DIRECTOS LEY 106 DE 1933,PRÉSTAMOS DIRECTOS LEY 106 DE 1933,2602.0,26,FUNCIONAMIENTO,6.1.4.8,Fondo de bienestar social de la contraloría general de la república,Organismos de control,25948000000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS EDUCATIVOS,PRÉSTAMOS EDUCATIVOS,3602.0,36,FUNCIONAMIENTO,6.1.4.9,Servicio nacional de aprendizaje (sena),Trabajo,24380000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS POR CALAMIDAD DOMÉSTICA,PRÉSTAMOS POR CALAMIDAD DOMÉSTICA,3602.0,36,FUNCIONAMIENTO,6.1.4.4,Servicio nacional de aprendizaje (sena),Trabajo,74200000.0
ADQUISICIÓN DE ACTIVOS FINANCIEROS,CONCESIÓN DE PRÉSTAMOS,A PERSONAS NATURALES,PRÉSTAMOS POR CALAMIDAD DOMÉSTICA,PRÉSTAMOS POR CALAMIDAD DOMÉSTICA,4602.0,46,FUNCIONAMIENTO,6.1.4.4,Instituto colombiano de bienestar familiar (icbf),Igualdad y equidad,79730600.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,101.0,1,FUNCIONAMIENTO,2,Congreso de la república,Congreso de la república,159472000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,201.0,2,FUNCIONAMIENTO,2,Presidencia de la república,Presidencia de la república,80697000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,209.0,2,FUNCIONAMIENTO,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Presidencia de la república,4499000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,211.0,2,FUNCIONAMIENTO,2,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,4222000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,212.0,2,FUNCIONAMIENTO,2,Agencia para la reincorporación y la normalización - arn,Presidencia de la república,9286000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,213.0,2,FUNCIONAMIENTO,2,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,6098000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,214.0,2,FUNCIONAMIENTO,2,Agencia de renovación del territorio – art,Presidencia de la república,15024000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,301.0,3,FUNCIONAMIENTO,2,Departamento administrativo nacional de planeación,Planeación,37872200000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,303.0,3,FUNCIONAMIENTO,2,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,Planeación,7351760269.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,324.0,3,FUNCIONAMIENTO,2,Superintendencia de servicios públicos domiciliarios,Planeación,51658000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,401.0,4,FUNCIONAMIENTO,2,Departamento administrativo nacional de estadística (dane),Información estadística,18087679860.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,402.0,4,FUNCIONAMIENTO,2,Fondo rotatorio del dane,Información estadística,2430000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,403.0,4,FUNCIONAMIENTO,2,Instituto geográfico agustín codazzi - igac,Información estadística,27768000000.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,501.0,5,FUNCIONAMIENTO,2,Departamento administrativo de la función pública,Empleo público,2978155287.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,503.0,5,FUNCIONAMIENTO,2,Escuela superior de administración pública (esap),Empleo público,25560438208.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,1101.0,11,FUNCIONAMIENTO,2,Ministerio de relaciones exteriores,Relaciones exteriores,16258000000.0
