Sector,Etapa,Año,Valor
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2000,252.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2001,297.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2002,294.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2003,214.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2004,201.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2005,226.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2006,318.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2007,339.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2008,327.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2009,480.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2010,467.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2011,591.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2012,795.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2013,1078.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2014,903.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2015,893.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2016,853.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2017,989.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2018,844.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2019,1002.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2020,1110.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2021,1180.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2022,1167.0
"COMERCIO, INDUSTRIA Y TURISMO",Apropiación,2023,1446.0
CONGRESO DE LA REPÚBLICA,Apropiación,2000,194.0
CONGRESO DE LA REPÚBLICA,Apropiación,2001,223.0
CONGRESO DE LA REPÚBLICA,Apropiación,2002,196.0
CONGRESO DE LA REPÚBLICA,Apropiación,2003,230.0
CONGRESO DE LA REPÚBLICA,Apropiación,2004,230.0
CONGRESO DE LA REPÚBLICA,Apropiación,2005,253.0
CONGRESO DE LA REPÚBLICA,Apropiación,2006,302.0
CONGRESO DE LA REPÚBLICA,Apropiación,2007,290.0
CONGRESO DE LA REPÚBLICA,Apropiación,2008,321.0
CONGRESO DE LA REPÚBLICA,Apropiación,2009,350.0
CONGRESO DE LA REPÚBLICA,Apropiación,2010,380.0
CONGRESO DE LA REPÚBLICA,Apropiación,2011,404.0
CONGRESO DE LA REPÚBLICA,Apropiación,2012,427.0
CONGRESO DE LA REPÚBLICA,Apropiación,2013,468.0
CONGRESO DE LA REPÚBLICA,Apropiación,2014,472.0
CONGRESO DE LA REPÚBLICA,Apropiación,2015,476.0
CONGRESO DE LA REPÚBLICA,Apropiación,2016,514.0
CONGRESO DE LA REPÚBLICA,Apropiación,2017,556.0
CONGRESO DE LA REPÚBLICA,Apropiación,2018,587.0
CONGRESO DE LA REPÚBLICA,Apropiación,2019,647.0
CONGRESO DE LA REPÚBLICA,Apropiación,2020,690.0
CONGRESO DE LA REPÚBLICA,Apropiación,2021,776.0
CONGRESO DE LA REPÚBLICA,Apropiación,2022,972.0
CONGRESO DE LA REPÚBLICA,Apropiación,2023,1184.0
CULTURA,Apropiación,2000,65.0
CULTURA,Apropiación,2001,69.0
CULTURA,Apropiación,2002,67.0
CULTURA,Apropiación,2003,67.0
CULTURA,Apropiación,2004,97.0
CULTURA,Apropiación,2005,106.0
CULTURA,Apropiación,2006,131.0
CULTURA,Apropiación,2007,150.0
CULTURA,Apropiación,2008,183.0
CULTURA,Apropiación,2009,204.0
CULTURA,Apropiación,2010,220.0
CULTURA,Apropiación,2011,243.0
CULTURA,Apropiación,2012,349.0
CULTURA,Apropiación,2013,416.0
CULTURA,Apropiación,2014,393.0
CULTURA,Apropiación,2015,441.0
CULTURA,Apropiación,2016,381.0
CULTURA,Apropiación,2017,403.0
CULTURA,Apropiación,2018,404.0
CULTURA,Apropiación,2019,383.0
CULTURA,Apropiación,2020,380.0
CULTURA,Apropiación,2021,615.0
CULTURA,Apropiación,2022,573.0
CULTURA,Apropiación,2023,804.0
DEFENSA Y POLICÍA,Apropiación,2000,6665.0
DEFENSA Y POLICÍA,Apropiación,2001,7871.0
DEFENSA Y POLICÍA,Apropiación,2002,8849.0
DEFENSA Y POLICÍA,Apropiación,2003,9952.0
DEFENSA Y POLICÍA,Apropiación,2004,11171.0
DEFENSA Y POLICÍA,Apropiación,2005,12109.0
DEFENSA Y POLICÍA,Apropiación,2006,13324.0
DEFENSA Y POLICÍA,Apropiación,2007,14809.0
DEFENSA Y POLICÍA,Apropiación,2008,18604.0
DEFENSA Y POLICÍA,Apropiación,2009,20542.0
DEFENSA Y POLICÍA,Apropiación,2010,21044.0
DEFENSA Y POLICÍA,Apropiación,2011,22002.0
DEFENSA Y POLICÍA,Apropiación,2012,23962.0
DEFENSA Y POLICÍA,Apropiación,2013,26463.0
DEFENSA Y POLICÍA,Apropiación,2014,27040.0
DEFENSA Y POLICÍA,Apropiación,2015,27314.0
DEFENSA Y POLICÍA,Apropiación,2016,28918.0
DEFENSA Y POLICÍA,Apropiación,2017,29980.0
DEFENSA Y POLICÍA,Apropiación,2018,31442.0
DEFENSA Y POLICÍA,Apropiación,2019,33564.0
DEFENSA Y POLICÍA,Apropiación,2020,35404.0
DEFENSA Y POLICÍA,Apropiación,2021,38825.0
DEFENSA Y POLICÍA,Apropiación,2022,42391.0
DEFENSA Y POLICÍA,Apropiación,2023,47952.0
DEPORTE Y RECREACIÓN,Apropiación,2000,40.0
DEPORTE Y RECREACIÓN,Apropiación,2001,79.0
DEPORTE Y RECREACIÓN,Apropiación,2002,39.0
DEPORTE Y RECREACIÓN,Apropiación,2003,40.0
DEPORTE Y RECREACIÓN,Apropiación,2004,90.0
DEPORTE Y RECREACIÓN,Apropiación,2005,73.0
DEPORTE Y RECREACIÓN,Apropiación,2006,103.0
DEPORTE Y RECREACIÓN,Apropiación,2007,86.0
DEPORTE Y RECREACIÓN,Apropiación,2008,156.0
DEPORTE Y RECREACIÓN,Apropiación,2009,147.0
DEPORTE Y RECREACIÓN,Apropiación,2010,143.0
DEPORTE Y RECREACIÓN,Apropiación,2011,176.0
DEPORTE Y RECREACIÓN,Apropiación,2012,332.0
DEPORTE Y RECREACIÓN,Apropiación,2013,389.0
DEPORTE Y RECREACIÓN,Apropiación,2014,353.0
DEPORTE Y RECREACIÓN,Apropiación,2015,436.0
DEPORTE Y RECREACIÓN,Apropiación,2016,409.0
DEPORTE Y RECREACIÓN,Apropiación,2017,590.0
DEPORTE Y RECREACIÓN,Apropiación,2018,569.0
DEPORTE Y RECREACIÓN,Apropiación,2019,500.0
DEPORTE Y RECREACIÓN,Apropiación,2020,462.0
DEPORTE Y RECREACIÓN,Apropiación,2021,768.0
DEPORTE Y RECREACIÓN,Apropiación,2022,898.0
DEPORTE Y RECREACIÓN,Apropiación,2023,949.0
EDUCACIÓN,Apropiación,2000,5235.0
EDUCACIÓN,Apropiación,2001,7758.0
EDUCACIÓN,Apropiación,2002,8755.0
EDUCACIÓN,Apropiación,2003,10168.0
EDUCACIÓN,Apropiación,2004,11584.0
EDUCACIÓN,Apropiación,2005,12623.0
EDUCACIÓN,Apropiación,2006,13594.0
EDUCACIÓN,Apropiación,2007,14382.0
EDUCACIÓN,Apropiación,2008,16274.0
EDUCACIÓN,Apropiación,2009,18861.0
EDUCACIÓN,Apropiación,2010,20860.0
EDUCACIÓN,Apropiación,2011,21771.0
EDUCACIÓN,Apropiación,2012,23376.0
EDUCACIÓN,Apropiación,2013,25278.0
EDUCACIÓN,Apropiación,2014,26934.0
EDUCACIÓN,Apropiación,2015,29065.0
EDUCACIÓN,Apropiación,2016,31613.0
EDUCACIÓN,Apropiación,2017,35596.0
EDUCACIÓN,Apropiación,2018,38244.0
EDUCACIÓN,Apropiación,2019,41461.0
EDUCACIÓN,Apropiación,2020,44611.0
EDUCACIÓN,Apropiación,2021,48095.0
EDUCACIÓN,Apropiación,2022,49756.0
EDUCACIÓN,Apropiación,2023,59027.0
EMPLEO PÚBLICO,Apropiación,2000,43.0
EMPLEO PÚBLICO,Apropiación,2001,54.0
EMPLEO PÚBLICO,Apropiación,2002,55.0
EMPLEO PÚBLICO,Apropiación,2003,42.0
EMPLEO PÚBLICO,Apropiación,2004,50.0
EMPLEO PÚBLICO,Apropiación,2005,51.0
EMPLEO PÚBLICO,Apropiación,2006,74.0
EMPLEO PÚBLICO,Apropiación,2007,123.0
EMPLEO PÚBLICO,Apropiación,2008,115.0
EMPLEO PÚBLICO,Apropiación,2009,164.0
EMPLEO PÚBLICO,Apropiación,2010,158.0
EMPLEO PÚBLICO,Apropiación,2011,167.0
EMPLEO PÚBLICO,Apropiación,2012,184.0
EMPLEO PÚBLICO,Apropiación,2013,222.0
EMPLEO PÚBLICO,Apropiación,2014,237.0
EMPLEO PÚBLICO,Apropiación,2015,262.0
EMPLEO PÚBLICO,Apropiación,2016,294.0
EMPLEO PÚBLICO,Apropiación,2017,369.0
EMPLEO PÚBLICO,Apropiación,2018,461.0
EMPLEO PÚBLICO,Apropiación,2019,412.0
EMPLEO PÚBLICO,Apropiación,2020,350.0
EMPLEO PÚBLICO,Apropiación,2021,501.0
EMPLEO PÚBLICO,Apropiación,2022,511.0
EMPLEO PÚBLICO,Apropiación,2023,576.0
FISCALÍA,Apropiación,2000,647.0
FISCALÍA,Apropiación,2001,672.0
FISCALÍA,Apropiación,2002,705.0
FISCALÍA,Apropiación,2003,737.0
FISCALÍA,Apropiación,2004,792.0
FISCALÍA,Apropiación,2005,875.0
FISCALÍA,Apropiación,2006,966.0
FISCALÍA,Apropiación,2007,1105.0
FISCALÍA,Apropiación,2008,1291.0
FISCALÍA,Apropiación,2009,1481.0
FISCALÍA,Apropiación,2010,1627.0
FISCALÍA,Apropiación,2011,1726.0
FISCALÍA,Apropiación,2012,2049.0
FISCALÍA,Apropiación,2013,2287.0
FISCALÍA,Apropiación,2014,2697.0
FISCALÍA,Apropiación,2015,3018.0
FISCALÍA,Apropiación,2016,3248.0
FISCALÍA,Apropiación,2017,3440.0
FISCALÍA,Apropiación,2018,3749.0
FISCALÍA,Apropiación,2019,3869.0
FISCALÍA,Apropiación,2020,4001.0
FISCALÍA,Apropiación,2021,4505.0
FISCALÍA,Apropiación,2022,4775.0
FISCALÍA,Apropiación,2023,5467.0
HACIENDA,Apropiación,2000,7367.0
HACIENDA,Apropiación,2001,7243.0
HACIENDA,Apropiación,2002,6489.0
HACIENDA,Apropiación,2003,5355.0
HACIENDA,Apropiación,2004,6453.0
HACIENDA,Apropiación,2005,7568.0
HACIENDA,Apropiación,2006,6497.0
HACIENDA,Apropiación,2007,7777.0
HACIENDA,Apropiación,2008,8281.0
HACIENDA,Apropiación,2009,8721.0
HACIENDA,Apropiación,2010,9502.0
HACIENDA,Apropiación,2011,8577.0
HACIENDA,Apropiación,2012,10209.0
HACIENDA,Apropiación,2013,14356.0
HACIENDA,Apropiación,2014,17469.0
HACIENDA,Apropiación,2015,18204.0
HACIENDA,Apropiación,2016,18672.0
HACIENDA,Apropiación,2017,21204.0
HACIENDA,Apropiación,2018,12972.0
HACIENDA,Apropiación,2019,10532.0
HACIENDA,Apropiación,2020,40897.0
HACIENDA,Apropiación,2021,24164.0
HACIENDA,Apropiación,2022,18263.0
HACIENDA,Apropiación,2023,41677.0
IGUALDAD Y EQUIDAD,Apropiación,2023,9596.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2000,1201.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2001,1317.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2002,1268.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2003,1265.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2004,1436.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2005,1768.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2006,2971.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2007,3892.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2008,5071.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2009,5967.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2010,6427.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2011,6898.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2012,8819.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2013,9574.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2014,9907.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2015,10974.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2016,10883.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2017,11438.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2018,11265.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2019,11486.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2020,18087.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2021,23920.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2022,23403.0
INCLUSIÓN SOCIAL Y RECONCILIACIÓN,Apropiación,2023,12837.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2000,94.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2001,81.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2002,98.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2003,85.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2004,124.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2005,263.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2006,139.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2007,164.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2008,196.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2009,199.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2010,245.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2011,252.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2012,334.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2013,431.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2014,596.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2015,389.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2016,340.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2017,399.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2018,622.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2019,385.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2020,380.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2021,612.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2022,683.0
INFORMACIÓN ESTADÍSTICA,Apropiación,2023,1027.0
INTELIGENCIA,Apropiación,2000,165.0
INTELIGENCIA,Apropiación,2001,191.0
INTELIGENCIA,Apropiación,2002,195.0
INTELIGENCIA,Apropiación,2003,241.0
INTELIGENCIA,Apropiación,2004,253.0
INTELIGENCIA,Apropiación,2005,269.0
INTELIGENCIA,Apropiación,2006,313.0
INTELIGENCIA,Apropiación,2007,314.0
INTELIGENCIA,Apropiación,2008,417.0
INTELIGENCIA,Apropiación,2009,400.0
INTELIGENCIA,Apropiación,2010,408.0
INTELIGENCIA,Apropiación,2011,370.0
INTELIGENCIA,Apropiación,2012,221.0
INTELIGENCIA,Apropiación,2013,226.0
INTELIGENCIA,Apropiación,2014,165.0
INTELIGENCIA,Apropiación,2015,82.0
INTELIGENCIA,Apropiación,2016,94.0
INTELIGENCIA,Apropiación,2017,94.0
INTELIGENCIA,Apropiación,2018,96.0
INTELIGENCIA,Apropiación,2019,98.0
INTELIGENCIA,Apropiación,2020,100.0
INTELIGENCIA,Apropiación,2021,117.0
INTELIGENCIA,Apropiación,2022,112.0
INTELIGENCIA,Apropiación,2023,144.0
INTERIOR Y JUSTICIA,Apropiación,2000,636.0
INTERIOR Y JUSTICIA,Apropiación,2001,808.0
INTERIOR Y JUSTICIA,Apropiación,2002,780.0
INTERIOR Y JUSTICIA,Apropiación,2003,775.0
INTERIOR Y JUSTICIA,Apropiación,2004,1002.0
INTERIOR Y JUSTICIA,Apropiación,2005,1042.0
INTERIOR Y JUSTICIA,Apropiación,2006,1363.0
INTERIOR Y JUSTICIA,Apropiación,2007,1565.0
INTERIOR Y JUSTICIA,Apropiación,2008,1814.0
INTERIOR Y JUSTICIA,Apropiación,2009,2248.0
INTERIOR Y JUSTICIA,Apropiación,2010,3145.0
INTERIOR Y JUSTICIA,Apropiación,2011,6589.0
INTERIOR Y JUSTICIA,Apropiación,2012,2675.0
INTERIOR Y JUSTICIA,Apropiación,2013,3425.0
INTERIOR Y JUSTICIA,Apropiación,2014,3614.0
INTERIOR Y JUSTICIA,Apropiación,2015,3584.0
INTERIOR Y JUSTICIA,Apropiación,2016,3726.0
INTERIOR Y JUSTICIA,Apropiación,2017,4187.0
INTERIOR Y JUSTICIA,Apropiación,2018,3864.0
INTERIOR Y JUSTICIA,Apropiación,2019,4138.0
INTERIOR Y JUSTICIA,Apropiación,2020,4762.0
INTERIOR Y JUSTICIA,Apropiación,2021,5739.0
INTERIOR Y JUSTICIA,Apropiación,2022,7011.0
INTERIOR Y JUSTICIA,Apropiación,2023,7822.0
MINAS Y ENERGÍA,Apropiación,2000,386.0
MINAS Y ENERGÍA,Apropiación,2001,636.0
MINAS Y ENERGÍA,Apropiación,2002,431.0
MINAS Y ENERGÍA,Apropiación,2003,431.0
MINAS Y ENERGÍA,Apropiación,2004,3048.0
MINAS Y ENERGÍA,Apropiación,2005,3025.0
MINAS Y ENERGÍA,Apropiación,2006,1171.0
MINAS Y ENERGÍA,Apropiación,2007,4101.0
MINAS Y ENERGÍA,Apropiación,2008,1854.0
MINAS Y ENERGÍA,Apropiación,2009,7335.0
MINAS Y ENERGÍA,Apropiación,2010,2411.0
MINAS Y ENERGÍA,Apropiación,2011,2947.0
MINAS Y ENERGÍA,Apropiación,2012,2809.0
MINAS Y ENERGÍA,Apropiación,2013,3504.0
MINAS Y ENERGÍA,Apropiación,2014,3047.0
MINAS Y ENERGÍA,Apropiación,2015,3449.0
MINAS Y ENERGÍA,Apropiación,2016,3291.0
MINAS Y ENERGÍA,Apropiación,2017,3920.0
MINAS Y ENERGÍA,Apropiación,2018,4192.0
MINAS Y ENERGÍA,Apropiación,2019,4013.0
MINAS Y ENERGÍA,Apropiación,2020,4361.0
MINAS Y ENERGÍA,Apropiación,2021,6163.0
MINAS Y ENERGÍA,Apropiación,2022,5783.0
MINAS Y ENERGÍA,Apropiación,2023,9061.0
ORGANISMOS DE CONTROL,Apropiación,2000,381.0
ORGANISMOS DE CONTROL,Apropiación,2001,386.0
ORGANISMOS DE CONTROL,Apropiación,2002,415.0
ORGANISMOS DE CONTROL,Apropiación,2003,424.0
ORGANISMOS DE CONTROL,Apropiación,2004,487.0
ORGANISMOS DE CONTROL,Apropiación,2005,510.0
ORGANISMOS DE CONTROL,Apropiación,2006,573.0
ORGANISMOS DE CONTROL,Apropiación,2007,647.0
ORGANISMOS DE CONTROL,Apropiación,2008,744.0
ORGANISMOS DE CONTROL,Apropiación,2009,851.0
ORGANISMOS DE CONTROL,Apropiación,2010,995.0
ORGANISMOS DE CONTROL,Apropiación,2011,1005.0
ORGANISMOS DE CONTROL,Apropiación,2012,1191.0
ORGANISMOS DE CONTROL,Apropiación,2013,1325.0
ORGANISMOS DE CONTROL,Apropiación,2014,1409.0
ORGANISMOS DE CONTROL,Apropiación,2015,1554.0
ORGANISMOS DE CONTROL,Apropiación,2016,1590.0
ORGANISMOS DE CONTROL,Apropiación,2017,1781.0
ORGANISMOS DE CONTROL,Apropiación,2018,1887.0
ORGANISMOS DE CONTROL,Apropiación,2019,1899.0
ORGANISMOS DE CONTROL,Apropiación,2020,2366.0
ORGANISMOS DE CONTROL,Apropiación,2021,2864.0
ORGANISMOS DE CONTROL,Apropiación,2022,3201.0
ORGANISMOS DE CONTROL,Apropiación,2023,4036.0
PLANEACIÓN,Apropiación,2000,509.0
PLANEACIÓN,Apropiación,2001,1099.0
PLANEACIÓN,Apropiación,2002,902.0
PLANEACIÓN,Apropiación,2003,438.0
PLANEACIÓN,Apropiación,2004,348.0
PLANEACIÓN,Apropiación,2005,307.0
PLANEACIÓN,Apropiación,2006,409.0
PLANEACIÓN,Apropiación,2007,450.0
PLANEACIÓN,Apropiación,2008,660.0
PLANEACIÓN,Apropiación,2009,1188.0
PLANEACIÓN,Apropiación,2010,1078.0
PLANEACIÓN,Apropiación,2011,950.0
PLANEACIÓN,Apropiación,2012,1063.0
PLANEACIÓN,Apropiación,2013,712.0
PLANEACIÓN,Apropiación,2014,508.0
PLANEACIÓN,Apropiación,2015,439.0
PLANEACIÓN,Apropiación,2016,572.0
PLANEACIÓN,Apropiación,2017,551.0
PLANEACIÓN,Apropiación,2018,495.0
PLANEACIÓN,Apropiación,2019,504.0
PLANEACIÓN,Apropiación,2020,621.0
PLANEACIÓN,Apropiación,2021,1566.0
PLANEACIÓN,Apropiación,2022,1845.0
PLANEACIÓN,Apropiación,2023,1953.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2000,789.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2001,823.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2002,1166.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2003,807.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2004,838.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2005,685.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2006,217.0
PRESIDENCIA DE LA REPÚBLICA,Apropiación,2007,362.0
