Actividad,C1,C2,Impuesto,Año,Valor,IPC,Valor_pc,Rubro,Rubro2
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1970,539.0,0.0803367287205411,670925.9993333342,Renta,Renta
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1971,0.0,0.093726183507298,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1971,4045.0,0.093726183507298,4315763.054285717,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1971,6122.0,0.093726183507298,6531792.686857147,Renta,Renta
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1971,344.0,0.093726183507298,367026.573714286,IVA,IVA
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1971,0.0,0.093726183507298,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1971,0.0,0.093726183507298,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1971,1338.0,0.093726183507298,1427562.6617142865,IVA,IVA
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1971,876.0,0.093726183507298,934637.4377142864,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1971,0.0,0.093726183507298,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1971,0.0,0.093726183507298,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1971,818.0,0.093726183507298,872755.0502857149,Renta,Renta
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1971,0.0,0.093726183507298,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1971,0.0,0.093726183507298,0.0,IVA,IVA
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1971,0.0,0.093726183507298,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1971,0.0,0.093726183507298,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1971,0.0,0.093726183507298,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1972,4534.0,0.1071156382940549,4232808.647000001,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1972,6862.0,0.1071156382940549,6406160.771000001,Renta,Renta
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1972,1447.0,0.1071156382940549,1350876.5135000001,IVA,IVA
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1972,0.0,0.1071156382940549,0.0,IVA,IVA
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1972,1040.0,0.1071156382940549,970913.3200000002,Otros impuestos,Timbre nacional
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1972,1159.0,0.1071156382940549,1082008.2095,Renta,Renta
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1972,0.0,0.1071156382940549,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1972,548.0,0.1071156382940549,511596.6340000001,IVA,IVA
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1972,0.0,0.1071156382940549,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1973,1686.0,0.1271998204741902,1325473.5688421053,IVA,IVA
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1973,7528.0,0.1271998204741902,5918247.346526316,Renta,Renta
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1973,1375.0,0.1271998204741902,1080976.3684210526,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1973,0.0,0.1271998204741902,0.0,IVA,IVA
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1973,774.0,0.1271998204741902,608491.4248421052,IVA,IVA
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1973,0.0,0.1271998204741902,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1973,1522.0,0.1271998204741902,1196542.569263158,Renta,Renta
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1973,0.0,0.1271998204741902,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1973,6156.0,0.1271998204741902,4839629.472,Otros impuestos,Arancel
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1974,1390.0,0.1673681848344608,830504.3168,IVA,IVA
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1974,2555.0,0.1673681848344608,1526574.4816,IVA,IVA
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1974,8996.0,0.1673681848344608,5374976.13952,Renta,Renta
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1974,7634.0,0.1673681848344608,4561201.40608,Otros impuestos,Arancel
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1974,0.0,0.1673681848344608,0.0,IVA,IVA
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1974,1791.0,0.1673681848344608,1070095.84992,Otros impuestos,Timbre nacional
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1974,0.0,0.1673681848344608,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1974,2139.0,0.1673681848344608,1278020.6716800001,Renta,Renta
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1974,0.0,0.1673681848344608,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1975,15702.0,0.1941470944079745,8087682.201931036,Renta,Renta
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1975,0.0,0.1941470944079745,0.0,IVA,IVA
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1975,2613.0,0.1941470944079745,1345886.7401379314,Renta,Renta
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1975,0.0,0.1941470944079745,0.0,Otros impuestos,G.M.F.
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1975,9479.0,0.1941470944079745,4882380.562482759,Otros impuestos,Arancel
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1975,2584.0,0.1941470944079745,1330949.6121379314,IVA,IVA
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1975,1658.0,0.1941470944079745,853991.6628965519,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1975,5174.0,0.1941470944079745,2664989.6645517247,IVA,IVA
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1975,0.0,0.1941470944079745,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1976,13687.0,0.2410101861616235,5679013.081555557,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Patrimonio
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1976,3564.0,0.2410101861616235,1478775.6720000005,IVA,IVA
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1976,10950.0,0.2410101861616235,4543376.4333333345,Renta,Renta
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1976,9819.0,0.2410101861616235,4074101.6620000014,Renta,Renta
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1976,1748.0,0.2410101861616235,725280.5484444447,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1976,0.0,0.2410101861616235,0.0,IVA,IVA
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1976,6497.0,0.2410101861616235,2695736.683777779,IVA,IVA
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1976,0.0,0.2410101861616235,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1976,0.0,0.2410101861616235,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1977,0.0,0.3146521874887863,0.0,IVA,IVA
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1977,0.0,0.3146521874887863,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Retención CREE
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1977,19037.0,0.3146521874887863,6050172.462468085,Otros impuestos,Arancel
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1977,5107.0,0.3146521874887863,1623061.9722553191,IVA,IVA
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1977,0.0,0.3146521874887863,0.0,Otros impuestos,Por clasificar
