Sector,Etapa,Año,Valor,IPC,Valor_pc
Ambiente y desarrollo sostenible,Apropiación,2000,147000000000.0,28.968085431148474,507455007164.3172
Ambiente y desarrollo sostenible,Apropiación,2001,162000000000.0,31.184040198356737,519496508372.69214
Ambiente y desarrollo sostenible,Apropiación,2002,177000000000.0,33.35982660120472,530578297411.1982
Ambiente y desarrollo sostenible,Apropiación,2003,213000000000.0,35.52891827665934,599511638213.68
Ambiente y desarrollo sostenible,Apropiación,2004,344000000000.0,37.48377867552584,917730314699.0535
Ambiente y desarrollo sostenible,Apropiación,2005,316000000000.0,39.2980497991314,804111149574.1057
Ambiente y desarrollo sostenible,Apropiación,2006,442000000000.0,41.058763103589925,1076505882276.2107
Ambiente y desarrollo sostenible,Apropiación,2007,532000000000.0,43.39522296387899,1225941390928.7258
Ambiente y desarrollo sostenible,Apropiación,2008,1475000000000.0,46.72919720578145,3156484785100.287
Ambiente y desarrollo sostenible,Apropiación,2009,1721000000000.0,47.666459040854434,3610505237078.652
Ambiente y desarrollo sostenible,Apropiación,2010,1919000000000.0,49.17277270436458,3902566185432.267
Ambiente y desarrollo sostenible,Apropiación,2011,1410000000000.0,51.007128010150275,2764319527497.0474
Ambiente y desarrollo sostenible,Apropiación,2012,416000000000.0,52.252347305318665,796136482767.4567
Ambiente y desarrollo sostenible,Apropiación,2013,569000000000.0,53.2632511417188,1068278762192.0566
Ambiente y desarrollo sostenible,Apropiación,2014,590000000000.0,55.21141681319193,1068619561052.504
Ambiente y desarrollo sostenible,Apropiación,2015,717000000000.0,58.947074698697094,1216345346507.6663
Ambiente y desarrollo sostenible,Apropiación,2016,699000000000.0,62.33460675974658,1121367465578.3484
Ambiente y desarrollo sostenible,Apropiación,2017,735000000000.0,64.88529789662377,1132768167560.875
Ambiente y desarrollo sostenible,Apropiación,2018,706000000000.0,66.94727393378432,1054561236800.0002
Ambiente y desarrollo sostenible,Apropiación,2019,623000000000.0,69.49127034326813,896515485934.4894
Ambiente y desarrollo sostenible,Apropiación,2020,727000000000.0,70.6159845453557,1029511950701.5548
Ambiente y desarrollo sostenible,Apropiación,2021,1171000000000.0,74.58595788962911,1570000618256.889
Ambiente y desarrollo sostenible,Apropiación,2022,1362000000000.0,84.37364933874838,1614248062842.1807
Ambiente y desarrollo sostenible,Apropiación,2023,2011000000000.0,92.19978566160776,2181133053151.3218
"Ciencia, tecnología e innovación",Apropiación,2000,45000000000.0,28.968085431148474,155343369540.0971
"Ciencia, tecnología e innovación",Apropiación,2001,76000000000.0,31.184040198356737,243714411335.33707
"Ciencia, tecnología e innovación",Apropiación,2002,88000000000.0,33.35982660120472,263790339955.84995
"Ciencia, tecnología e innovación",Apropiación,2003,73000000000.0,35.52891827665934,205466429998.11572
"Ciencia, tecnología e innovación",Apropiación,2004,94000000000.0,37.48377867552584,250775144132.8809
"Ciencia, tecnología e innovación",Apropiación,2005,99000000000.0,39.2980497991314,251920898126.06476
"Ciencia, tecnología e innovación",Apropiación,2006,131000000000.0,41.058763103589925,319054910810.3702
"Ciencia, tecnología e innovación",Apropiación,2007,137000000000.0,43.39522296387899,315702952175.2546
"Ciencia, tecnología e innovación",Apropiación,2008,199000000000.0,46.72919720578145,425857947277.937
"Ciencia, tecnología e innovación",Apropiación,2009,237000000000.0,47.666459040854434,497204962921.3483
"Ciencia, tecnología e innovación",Apropiación,2010,357000000000.0,49.17277270436458,726011531109.5985
"Ciencia, tecnología e innovación",Apropiación,2011,380000000000.0,51.007128010150275,744993915211.9702
"Ciencia, tecnología e innovación",Apropiación,2012,425000000000.0,52.252347305318665,813360589365.7911
"Ciencia, tecnología e innovación",Apropiación,2013,430000000000.0,53.2632511417188,807310839617.8987
"Ciencia, tecnología e innovación",Apropiación,2014,377000000000.0,55.21141681319193,682829787316.6001
"Ciencia, tecnología e innovación",Apropiación,2015,355000000000.0,58.947074698697094,602235143668.3704
"Ciencia, tecnología e innovación",Apropiación,2016,307000000000.0,62.33460675974658,492503307485.7696
"Ciencia, tecnología e innovación",Apropiación,2017,380000000000.0,64.88529789662377,585648848534.8741
"Ciencia, tecnología e innovación",Apropiación,2018,335000000000.0,66.94727393378432,500393788000.0001
"Ciencia, tecnología e innovación",Apropiación,2019,351000000000.0,69.49127034326813,505099415028.90173
"Ciencia, tecnología e innovación",Apropiación,2020,270000000000.0,70.6159845453557,382349692832.7645
"Ciencia, tecnología e innovación",Apropiación,2021,412000000000.0,74.58595788962911,552382796517.3683
"Ciencia, tecnología e innovación",Apropiación,2022,331000000000.0,84.37364933874838,392302576212.01306
"Ciencia, tecnología e innovación",Apropiación,2023,485000000000.0,92.19978566160776,526031591635.20197
"Comercio, industria y turismo",Apropiación,2000,252000000000.0,28.968085431148474,869922869424.5437
"Comercio, industria y turismo",Apropiación,2001,297000000000.0,31.184040198356737,952410265349.9357
"Comercio, industria y turismo",Apropiación,2002,294000000000.0,33.35982660120472,881299544852.4987
"Comercio, industria y turismo",Apropiación,2003,214000000000.0,35.52891827665934,602326246843.7913
"Comercio, industria y turismo",Apropiación,2004,201000000000.0,37.48377867552584,536231957135.20276
"Comercio, industria y turismo",Apropiación,2005,226000000000.0,39.2980497991314,575092151277.6832
"Comercio, industria y turismo",Apropiación,2006,318000000000.0,41.058763103589925,774499707157.9978
"Comercio, industria y turismo",Apropiación,2007,339000000000.0,43.39522296387899,781191976550.4475
"Comercio, industria y turismo",Apropiación,2008,327000000000.0,46.72919720578145,699776626934.0975
"Comercio, industria y turismo",Apropiación,2009,480000000000.0,47.666459040854434,1006997393258.427
"Comercio, industria y turismo",Apropiación,2010,467000000000.0,49.17277270436458,949712563104.1526
"Comercio, industria y turismo",Apropiación,2011,591000000000.0,51.007128010150275,1158661589184.9326
"Comercio, industria y turismo",Apropiación,2012,795000000000.0,52.252347305318665,1521462749519.5386
"Comercio, industria y turismo",Apropiación,2013,1078000000000.0,53.2632511417188,2023909500251.3833
"Comercio, industria y turismo",Apropiación,2014,903000000000.0,55.21141681319193,1635531294288.8325
"Comercio, industria y turismo",Apropiación,2015,893000000000.0,58.947074698697094,1514918262805.2246
"Comercio, industria y turismo",Apropiación,2016,853000000000.0,62.33460675974658,1368421241971.8613
"Comercio, industria y turismo",Apropiación,2017,989000000000.0,64.88529789662377,1524228187371.0276
"Comercio, industria y turismo",Apropiación,2018,844000000000.0,66.94727393378432,1260693603200.0002
"Comercio, industria y turismo",Apropiación,2019,1002000000000.0,69.49127034326813,1441907731791.9075
"Comercio, industria y turismo",Apropiación,2020,1110000000000.0,70.6159845453557,1571882070534.6985
"Comercio, industria y turismo",Apropiación,2021,1180000000000.0,74.58595788962911,1582067232743.919
"Comercio, industria y turismo",Apropiación,2022,1167000000000.0,84.37364933874838,1383133252082.8374
"Comercio, industria y turismo",Apropiación,2023,1446000000000.0,92.19978566160776,1568333363926.8083
Congreso de la república,Apropiación,2000,194000000000.0,28.968085431148474,669702526461.752
Congreso de la república,Apropiación,2001,223000000000.0,31.184040198356737,715109391155.0022
Congreso de la república,Apropiación,2002,196000000000.0,33.35982660120472,587533029901.6658
Congreso de la república,Apropiación,2003,230000000000.0,35.52891827665934,647359984925.5701
Congreso de la república,Apropiación,2004,230000000000.0,37.48377867552584,613598756920.8788
Congreso de la república,Apropiación,2005,253000000000.0,39.2980497991314,643797850766.61
Congreso de la república,Apropiación,2006,302000000000.0,41.058763103589925,735531168433.067
Congreso de la república,Apropiación,2007,290000000000.0,43.39522296387899,668276322122.8018
Congreso de la república,Apropiación,2008,321000000000.0,46.72919720578145,686936688825.215
Congreso de la república,Apropiación,2009,350000000000.0,47.666459040854434,734268932584.2698
Congreso de la república,Apropiación,2010,380000000000.0,49.17277270436458,772785383253.9143
Congreso de la república,Apropiación,2011,404000000000.0,51.007128010150275,792046162488.5156
Congreso de la república,Apropiación,2012,427000000000.0,52.252347305318665,817188168609.8655
Congreso de la república,Apropiación,2013,468000000000.0,53.2632511417188,878654588235.2944
Congreso de la república,Apropiación,2014,472000000000.0,55.21141681319193,854895648842.0033
Congreso de la república,Apropiación,2015,476000000000.0,58.947074698697094,807504023622.9417
Congreso de la república,Apropiación,2016,514000000000.0,62.33460675974658,824582084845.8813
Congreso de la república,Apropiación,2017,556000000000.0,64.88529789662377,856896736277.342
Congreso de la república,Apropiación,2018,587000000000.0,66.94727393378432,876809413600.0001
Congreso de la república,Apropiación,2019,647000000000.0,69.49127034326813,931052198073.2178
Congreso de la república,Apropiación,2020,690000000000.0,70.6159845453557,977115881683.7316
Congreso de la república,Apropiación,2021,776000000000.0,74.58595788962911,1040410315770.5771
Congreso de la república,Apropiación,2022,972000000000.0,84.37364933874838,1152018441323.4944
Congreso de la república,Apropiación,2023,1184000000000.0,92.19978566160776,1284167844321.8125
Cultura,Apropiación,2000,65000000000.0,28.968085431148474,224384867113.4736
Cultura,Apropiación,2001,69000000000.0,31.184040198356737,221267031343.92444
Cultura,Apropiación,2002,67000000000.0,33.35982660120472,200840372466.38574
Cultura,Apropiación,2003,67000000000.0,35.52891827665934,188578778217.44867
Cultura,Apropiación,2004,97000000000.0,37.48377867552584,258778606179.67496
Cultura,Apropiación,2005,106000000000.0,39.2980497991314,269733486882.4532
Cultura,Apropiación,2006,131000000000.0,41.058763103589925,319054910810.3702
Cultura,Apropiación,2007,150000000000.0,43.39522296387899,345660166615.24225
Cultura,Apropiación,2008,183000000000.0,46.72919720578145,391618112320.91693
Cultura,Apropiación,2009,204000000000.0,47.666459040854434,427973892134.8315
Cultura,Apropiación,2010,220000000000.0,49.17277270436458,447402063989.1083
Cultura,Apropiación,2011,243000000000.0,51.007128010150275,476404003675.023
Cultura,Apropiación,2012,349000000000.0,52.252347305318665,667912578090.9673
Cultura,Apropiación,2013,416000000000.0,53.2632511417188,781026300653.595
Cultura,Apropiación,2014,393000000000.0,55.21141681319193,711809300836.668
Cultura,Apropiación,2015,441000000000.0,58.947074698697094,748128727768.3136
Cultura,Apropiación,2016,381000000000.0,62.33460675974658,611217459778.7563
Cultura,Apropiación,2017,403000000000.0,64.88529789662377,621096015683.0375
Cultura,Apropiación,2018,404000000000.0,66.94727393378432,603459971200.0001
Cultura,Apropiación,2019,383000000000.0,69.49127034326813,551148364547.2062
Cultura,Apropiación,2020,380000000000.0,70.6159845453557,538121789912.7797
Cultura,Apropiación,2021,615000000000.0,74.58595788962911,824551989947.0425
Cultura,Apropiación,2022,573000000000.0,84.37364933874838,679121982385.1465
Cultura,Apropiación,2023,804000000000.0,92.19978566160776,872019380772.5822
Defensa y policía,Apropiación,2000,6665000000000.0,28.968085431148474,23008079066327.715
Defensa y policía,Apropiación,2001,7871000000000.0,31.184040198356737,25240475416058.395
Defensa y policía,Apropiación,2002,8849000000000.0,33.35982660120472,26525917253060.41
Defensa y policía,Apropiación,2003,9952000000000.0,35.52891827665934,28010985086866.406
Defensa y policía,Apropiación,2004,11171000000000.0,37.48377867552584,29802224841578.855
Defensa y policía,Apropiación,2005,12109000000000.0,39.2980497991314,30813233893015.336
Defensa y policía,Apropiación,2006,13324000000000.0,41.058763103589925,32451050623186.047
Defensa y policía,Apropiación,2007,14809000000000.0,43.39522296387899,34125876049367.484
Defensa y policía,Apropiación,2008,18604000000000.0,46.72919720578145,39812368096275.08
Defensa y policía,Apropiación,2009,20542000000000.0,47.666459040854434,43095292608988.766
Defensa y policía,Apropiación,2010,21044000000000.0,49.17277270436458,42796041066303.61
Defensa y policía,Apropiación,2011,22002000000000.0,51.007128010150275,43135147690773.07
Defensa y policía,Apropiación,2012,23962000000000.0,52.252347305318665,45858226923254.32
Defensa y policía,Apropiación,2013,26463000000000.0,53.2632511417188,49683411043740.586
Defensa y policía,Apropiación,2014,27040000000000.0,55.21141681319193,48975377848914.766
Defensa y policía,Apropiación,2015,27314000000000.0,58.947074698697094,46336480884951.74
Defensa y policía,Apropiación,2016,28918000000000.0,62.33460675974658,46391565621737.734
Defensa y policía,Apropiación,2017,29980000000000.0,64.88529789662377,46204611787040.86
Defensa y policía,Apropiación,2018,31442000000000.0,66.94727393378432,46965317857600.01
Defensa y policía,Apropiación,2019,33564000000000.0,69.49127034326813,48299591926011.56
Defensa y policía,Apropiación,2020,35404000000000.0,70.6159845453557,50135957500189.61
Defensa y policía,Apropiación,2021,38825000000000.0,74.58595788962911,52054034162103.94
Defensa y policía,Apropiación,2022,42391000000000.0,84.37364933874838,50241989450765.695
Defensa y policía,Apropiación,2023,47952000000000.0,92.19978566160776,52008797695033.41
Deporte y recreación,Apropiación,2000,40000000000.0,28.968085431148474,138082995146.753
Deporte y recreación,Apropiación,2001,79000000000.0,31.184040198356737,253334717045.94247
Deporte y recreación,Apropiación,2002,39000000000.0,33.35982660120472,116907082480.4335
Deporte y recreación,Apropiación,2003,40000000000.0,35.52891827665934,112584345204.44698
Deporte y recreación,Apropiación,2004,90000000000.0,37.48377867552584,240103861403.8221
Deporte y recreación,Apropiación,2005,73000000000.0,39.2980497991314,185759854173.76492
Deporte y recreación,Apropiación,2006,103000000000.0,41.058763103589925,250859968041.74142
Deporte y recreación,Apropiación,2007,86000000000.0,43.39522296387899,198178495526.07224
Deporte y recreación,Apropiación,2008,156000000000.0,46.72919720578145,333838390830.9456
Deporte y recreación,Apropiación,2009,147000000000.0,47.666459040854434,308392951685.3933
Deporte y recreación,Apropiación,2010,143000000000.0,49.17277270436458,290811341592.9204
Deporte y recreación,Apropiación,2011,176000000000.0,51.007128010150275,345049813361.33356
Deporte y recreación,Apropiación,2012,332000000000.0,52.252347305318665,635378154516.3357
Deporte y recreación,Apropiación,2013,389000000000.0,53.2632511417188,730334689793.8665
Deporte y recreación,Apropiación,2014,353000000000.0,55.21141681319193,639360517036.4982
Deporte y recreación,Apropiación,2015,436000000000.0,58.947074698697094,739646542646.2239
Deporte y recreación,Apropiación,2016,409000000000.0,62.33460675974658,656136328213.9406
Deporte y recreación,Apropiación,2017,590000000000.0,64.88529789662377,909296896409.4098
Deporte y recreación,Apropiación,2018,569000000000.0,66.94727393378432,849922583200.0001
Deporte y recreación,Apropiación,2019,500000000000.0,69.49127034326813,719514836223.5067
Deporte y recreación,Apropiación,2020,462000000000.0,70.6159845453557,654242807736.0637
Deporte y recreación,Apropiación,2021,768000000000.0,74.58595788962911,1029684436226.5505
Deporte y recreación,Apropiación,2022,898000000000.0,84.37364933874838,1064313333650.7181
Deporte y recreación,Apropiación,2023,949000000000.0,92.19978566160776,1029286557653.2096
Educación,Apropiación,2000,5235000000000.0,28.968085431148474,18071611989831.297
Educación,Apropiación,2001,7758000000000.0,31.184040198356737,24878110567625.59
Educación,Apropiación,2002,8755000000000.0,33.35982660120472,26244141208107.57
Educación,Apropiación,2003,10168000000000.0,35.52891827665934,28618940550970.418
Educación,Apropiación,2004,11584000000000.0,37.48377867552584,30904034783354.17
Educación,Apropiación,2005,12623000000000.0,39.2980497991314,32121186838841.57
Educación,Apropiación,2006,13594000000000.0,41.058763103589925,33108644714169.25
Educación,Apropiación,2007,14382000000000.0,43.39522296387899,33141896775069.43
Educación,Apropiación,2008,16274000000000.0,46.72919720578145,34826192130659.03
Educación,Apropiación,2009,18861000000000.0,47.666459040854434,39568703821348.32
Educación,Apropiación,2010,20860000000000.0,49.17277270436458,42421850249149.086
Educación,Apropiación,2011,21771000000000.0,51.007128010150275,42682269810736.32
Educación,Apropiación,2012,23376000000000.0,52.252347305318665,44736746204740.55
Educación,Apropiación,2013,25278000000000.0,53.2632511417188,47458612567119.17
Educación,Apropiación,2014,26934000000000.0,55.21141681319193,48783388571844.31
Educación,Apropiación,2015,29065000000000.0,58.947074698697094,49306942114707.56
Educación,Apropiación,2016,31613000000000.0,62.33460675974658,50715006708624.21
Educación,Apropiación,2017,35596000000000.0,64.88529789662377,54859885295914.16
Educación,Apropiación,2018,38244000000000.0,66.94727393378432,57125552323200.01
Educación,Apropiación,2019,41461000000000.0,69.49127034326813,59663609249325.625
Educación,Apropiación,2020,44611000000000.0,70.6159845453557,63174082025786.88
Educación,Apropiación,2021,48095000000000.0,74.58595788962911,64482647083744.73
Educación,Apropiación,2022,49756000000000.0,84.37364933874838,58971018072522.42
Educación,Apropiación,2023,59027000000000.0,92.19978566160776,64020756205053.74
Empleo público,Apropiación,2000,43000000000.0,28.968085431148474,148439219782.75946
Empleo público,Apropiación,2001,54000000000.0,31.184040198356737,173165502790.89737
Empleo público,Apropiación,2002,55000000000.0,33.35982660120472,164868962472.40622
Empleo público,Apropiación,2003,42000000000.0,35.52891827665934,118213562464.66931
Empleo público,Apropiación,2004,50000000000.0,37.48377867552584,133391034113.23451
Empleo público,Apropiación,2005,51000000000.0,39.2980497991314,129777432367.97275
Empleo público,Apropiación,2006,74000000000.0,41.058763103589925,180229491602.8045
Empleo público,Apropiación,2007,123000000000.0,43.39522296387899,283441336624.49866
Empleo público,Apropiación,2008,115000000000.0,46.72919720578145,246098813753.5817
Empleo público,Apropiación,2009,164000000000.0,47.666459040854434,344057442696.6292
Empleo público,Apropiación,2010,158000000000.0,49.17277270436458,321316027773.996
Empleo público,Apropiación,2011,167000000000.0,51.007128010150275,327405220632.62897
Empleo público,Apropiación,2012,184000000000.0,52.252347305318665,352137290454.8366
Empleo público,Apropiación,2013,222000000000.0,53.2632511417188,416797689291.1012
Empleo público,Apropiación,2014,237000000000.0,55.21141681319193,429259044016.00586
Empleo público,Apropiación,2015,262000000000.0,58.947074698697094,444466500397.5015
Empleo público,Apropiación,2016,294000000000.0,62.33460675974658,471648118569.434
Empleo público,Apropiación,2017,369000000000.0,64.88529789662377,568695855550.9698
Empleo público,Apropiación,2018,461000000000.0,66.94727393378432,688601600800.0001
Empleo público,Apropiación,2019,412000000000.0,69.49127034326813,592880225048.1696
Empleo público,Apropiación,2020,350000000000.0,70.6159845453557,495638490709.1392
Empleo público,Apropiación,2021,501000000000.0,74.58595788962911,671708206444.6638
Empleo público,Apropiación,2022,511000000000.0,84.37364933874838,605639324605.2528
Empleo público,Apropiación,2023,576000000000.0,92.19978566160776,624730302643.044
Fiscalía,Apropiación,2000,647000000000.0,28.968085431148474,2233492446498.7295
Fiscalía,Apropiación,2001,672000000000.0,31.184040198356737,2154948479175.6118
Fiscalía,Apropiación,2002,705000000000.0,33.35982660120472,2113320337146.2979
Fiscalía,Apropiación,2003,737000000000.0,35.52891827665934,2074366560391.9353
Fiscalía,Apropiación,2004,792000000000.0,37.48377867552584,2112913980353.6348
Fiscalía,Apropiación,2005,875000000000.0,39.2980497991314,2226573594548.5522
Fiscalía,Apropiación,2006,966000000000.0,41.058763103589925,2352725525517.6914
Fiscalía,Apropiación,2007,1105000000000.0,43.39522296387899,2546363227398.951
Fiscalía,Apropiación,2008,1291000000000.0,46.72919720578145,2762726683094.556
Fiscalía,Apropiación,2009,1481000000000.0,47.666459040854434,3107006540449.4385
Fiscalía,Apropiación,2010,1627000000000.0,49.17277270436458,3308741627773.996
Fiscalía,Apropiación,2011,1726000000000.0,51.007128010150275,3383840783304.896
Fiscalía,Apropiación,2012,2049000000000.0,52.252347305318665,3921354935554.132
Fiscalía,Apropiación,2013,2287000000000.0,53.2632511417188,4293767186525.8936
Fiscalía,Apropiación,2014,2697000000000.0,55.21141681319193,4884859247726.446
Fiscalía,Apropiación,2015,3018000000000.0,58.947074698697094,5119846939693.357
Fiscalía,Apropiación,2016,3248000000000.0,62.33460675974658,5210588738481.366
Fiscalía,Apropiación,2017,3440000000000.0,64.88529789662377,5301663260420.966
Fiscalía,Apropiación,2018,3749000000000.0,66.94727393378432,5599929287200.001
Fiscalía,Apropiación,2019,3869000000000.0,69.49127034326813,5567605802697.495
Fiscalía,Apropiación,2020,4001000000000.0,70.6159845453557,5665856003792.188
Fiscalía,Apropiación,2021,4505000000000.0,74.58595788962911,6040010918229.961
Fiscalía,Apropiación,2022,4775000000000.0,84.37364933874838,5659349853209.554
Fiscalía,Apropiación,2023,5467000000000.0,92.19978566160776,5929514869009.586
Hacienda,Apropiación,2000,7367000000000.0,28.968085431148474,25431435631153.23
Hacienda,Apropiación,2001,7243000000000.0,31.184040198356737,23226624753971.664
Hacienda,Apropiación,2002,6489000000000.0,33.35982660120472,19451539954244.434
Hacienda,Apropiación,2003,5355000000000.0,35.52891827665934,15072229214245.338
Hacienda,Apropiación,2004,6453000000000.0,37.48377867552584,17215446862654.047
Hacienda,Apropiación,2005,7568000000000.0,39.2980497991314,19257953101192.508
Hacienda,Apropiación,2006,6497000000000.0,41.058763103589925,15823662255992.174
Hacienda,Apropiación,2007,7777000000000.0,43.39522296387899,17921327438444.926
Hacienda,Apropiación,2008,8281000000000.0,46.72919720578145,17721254579942.695
Hacienda,Apropiación,2009,8721000000000.0,47.666459040854434,18295883888764.047
Hacienda,Apropiación,2010,9502000000000.0,49.17277270436458,19323701872838.668
Hacienda,Apropiación,2011,8577000000000.0,51.007128010150275,16815296870455.443
Hacienda,Apropiación,2012,10209000000000.0,52.252347305318665,19537878251377.32
Hacienda,Apropiación,2013,14356000000000.0,53.2632511417188,26952917240824.543
Hacienda,Apropiación,2014,17469000000000.0,55.21141681319193,31640195105129.14
Hacienda,Apropiación,2015,18204000000000.0,58.947074698697094,30881939592504.266
Hacienda,Apropiación,2016,18672000000000.0,62.33460675974658,29954468265062.832
Hacienda,Apropiación,2017,21204000000000.0,64.88529789662377,32679205748245.973
Hacienda,Apropiación,2018,12972000000000.0,66.94727393378432,19376442441600.004
Hacienda,Apropiación,2019,10532000000000.0,69.49127034326813,15155860510211.945
Hacienda,Apropiación,2020,40897000000000.0,70.6159845453557,57914649584376.19
Hacienda,Apropiación,2021,24164000000000.0,74.58595788962911,32397519162732.25
Hacienda,Apropiación,2022,18263000000000.0,84.37364933874838,21645383532809.65
Hacienda,Apropiación,2023,41677000000000.0,92.19978566160776,45202925040371.77
Igualdad y equidad,Apropiación,2023,9596000000000.0,92.19978566160776,10407833305837.934
Inclusión social y reconciliación,Apropiación,2000,1201000000000.0,28.968085431148474,4145941929281.2583
Inclusión social y reconciliación,Apropiación,2001,1317000000000.0,31.184040198356737,4223314206955.775
Inclusión social y reconciliación,Apropiación,2002,1268000000000.0,33.35982660120472,3800978989363.838
Inclusión social y reconciliación,Apropiación,2003,1265000000000.0,35.52891827665934,3560479917090.6353
Inclusión social y reconciliación,Apropiación,2004,1436000000000.0,37.48377867552584,3830990499732.095
Inclusión social y reconciliación,Apropiación,2005,1768000000000.0,39.2980497991314,4498950988756.389
Inclusión social y reconciliación,Apropiación,2006,2971000000000.0,41.058763103589925,7235970534485.57
Inclusión social y reconciliación,Apropiación,2007,3892000000000.0,43.39522296387899,8968729123110.152
Inclusión social y reconciliación,Apropiación,2008,5071000000000.0,46.72919720578145,10851887691690.545
Inclusión social y reconciliación,Apropiación,2009,5967000000000.0,47.666459040854434,12518236344943.82
Inclusión social y reconciliación,Apropiación,2010,6427000000000.0,49.17277270436458,13070241205718.178
Inclusión social y reconciliación,Apropiación,2011,6898000000000.0,51.007128010150275,13523600071400.447
Inclusión social y reconciliación,Apropiación,2012,8819000000000.0,52.252347305318665,16877710676745.676
Inclusión social y reconciliación,Apropiación,2013,9574000000000.0,53.2632511417188,17974869717445.957
Inclusión social y reconciliación,Apropiación,2014,9907000000000.0,55.21141681319193,17943752527707.047
Inclusión social y reconciliación,Apropiación,2015,10974000000000.0,58.947074698697094,18616699905962.523
Inclusión social y reconciliación,Apropiación,2016,10883000000000.0,62.33460675974658,17459001613575.342
Inclusión social y reconciliación,Apropiación,2017,11438000000000.0,64.88529789662377,17628030340899.71
Inclusión social y reconciliación,Apropiación,2018,11265000000000.0,66.94727393378432,16826674692000.004
Inclusión social y reconciliación,Apropiación,2019,11486000000000.0,69.49127034326813,16528694817726.396
Inclusión social y reconciliación,Apropiación,2020,18087000000000.0,70.6159845453557,25613181089874.86
Inclusión social y reconciliación,Apropiación,2021,23920000000000.0,74.58595788962911,32070379836639.44
Inclusión social y reconciliación,Apropiación,2022,23403000000000.0,84.37364933874838,27737332903594.383
Inclusión social y reconciliación,Apropiación,2023,12837000000000.0,92.19978566160776,13923025859424.922
Información estadística,Apropiación,2000,94000000000.0,28.968085431148474,324495038594.8695
Información estadística,Apropiación,2001,81000000000.0,31.184040198356737,259748254186.34607
Información estadística,Apropiación,2002,98000000000.0,33.35982660120472,293766514950.8329
Información estadística,Apropiación,2003,85000000000.0,35.52891827665934,239241733559.4498
Información estadística,Apropiación,2004,124000000000.0,37.48377867552584,330809764600.8216
Información estadística,Apropiación,2005,263000000000.0,39.2980497991314,669244406132.8792
Información estadística,Apropiación,2006,139000000000.0,41.058763103589925,338539180172.8355
Información estadística,Apropiación,2007,164000000000.0,43.39522296387899,377921782165.9982
Información estadística,Apropiación,2008,196000000000.0,46.72919720578145,419437978223.4958
Información estadística,Apropiación,2009,199000000000.0,47.666459040854434,417484335955.0562
Información estadística,Apropiación,2010,245000000000.0,49.17277270436458,498243207624.23425
Información estadística,Apropiación,2011,252000000000.0,51.007128010150275,494048596403.7276
Información estadística,Apropiación,2012,334000000000.0,52.252347305318665,639205733760.4099
Información estadística,Apropiación,2013,431000000000.0,53.2632511417188,809188306686.7776
Información estadística,Apropiación,2014,596000000000.0,55.21141681319193,1079486878622.5295
Información estadística,Apropiación,2015,389000000000.0,58.947074698697094,659914002498.5804
Información estadística,Apropiación,2016,340000000000.0,62.33460675974658,545443402427.23663
Información estadística,Apropiación,2017,399000000000.0,64.88529789662377,614931290961.6178
Información estadística,Apropiación,2018,622000000000.0,66.94727393378432,929089361600.0002
