CTA PROG,SUBC SUBP,OBJG PROY,ORD SPRY,Fuente,Rec.,Sit,Nombre del rubro,Apropiación 2025,Código de entidad,Entidad,Código de sector,Sector,Tipo de gasto,Año,% porc
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,,Nación,10,C,A ORGANIZACIONES INTERNACIONALES,21769050000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0041
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),87800000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,3000000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,528000000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0001
,,,,Nación,10,C,INVERSION,1625544948,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Inversión,2025,0.0003
,,,,Propios,20,S,INVERSION,97940560000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Inversión,2025,0.0186
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,8383822676,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0016
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,3531183010,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0007
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,1258793384,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0002
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,14371056787,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0027
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,ATENCIÓN DE DESASTRES Y EMERGENCIAS EN EL TERRITORIO NACIONAL -FONDO NACIONAL DE GESTION DEL RIESGO DE DESASTRES,Nación,10,C,ATENCIÓN DE DESASTRES Y EMERGENCIAS EN EL TERRITORIO NACIONAL -FONDO NACIONAL DE GESTIÓN DEL RIESGO DE DESASTRES,554589745277,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.1053
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),23500000,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,669500,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,1403177166,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Funcionamiento,2025,0.0003
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,28588689702,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Deuda,2025,0.0054
,,,,Nación,10,C,INVERSION,15348968649,211,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,Inversión,2025,0.0029
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,36131497251,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0069
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,13669732913,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0026
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,4509589936,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0009
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,9286000000,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0018
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ: PROGRAMA DE REINTEGRACIÓN SOCIAL Y ECONÓMICA,Nación,10,C,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ: PROGRAMA DE REINTEGRACIÓN SOCIAL Y ECONÓMICA,270545405700,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0514
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),200000000,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,21524745,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,741675255,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Funcionamiento,2025,0.0001
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,1383329779,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Deuda,2025,0.0003
,,,,Nación,10,C,INVERSION,1269956990,212,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,Inversión,2025,0.0002
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,3421638685,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0006
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,1170854949,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0002
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,920957735,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0002
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,6798216263,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0013
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),16386000,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,75260000,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,180200000,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Funcionamiento,2025,0.0
,,,,Nación,10,C,INVERSION,33015251903,213,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,Inversión,2025,0.0063
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,43771012724,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0083
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,15111701524,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0029
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,2852940651,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0005
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,12142566308,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0023
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),250000000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Nación,10,C,SENTENCIAS Y CONCILIACIONES,1054495193,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0002
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,15000000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,249000000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA","MULTAS, SANCIONES E INTERESES DE MORA",,,Nación,10,C,"MULTAS, SANCIONES E INTERESES DE MORA",54000000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,784677854,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Deuda,2025,0.0001
,,,,Nación,10,C,INVERSION,44675277063,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Inversión,2025,0.0085
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,1801973978,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0003
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,623412646,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0001
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,105153773,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,1651400000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0003
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),40000000,214,Agencia de renovación del territorio - art,2,Presidencia de la república,Funcionamiento,2025,0.0
